epoch,wer,cer,accuracy,d_avg_loss, p_avg_loss
0,0.9274985557481231,0.5335141418055028,100.0,0.0,99.11745178426976
1,0.8480647024841147,0.42521138637555117,100.0,0.0,64.92292672506099
2,0.7862507221259408,0.3806094309091338,100.0,0.0,51.80909095589869
3,0.7355093394954773,0.3401326435262225,100.0,0.0,42.38347843517236
4,0.7146158290005804,0.32591106958087535,100.0,0.0,34.42365600948885
5,0.6862122087425411,0.3097750529890391,100.0,0.0,27.46306163183366
6,0.6743693433468162,0.2981288602228974,100.0,0.0,21.34014421664189
7,0.6750433275563289,0.2978553684162561,100.0,0.0,16.223226513179736
8,0.6606008087810546,0.2889896756843009,100.0,0.0,11.990961549196916
9,0.6521278644328938,0.28627754860177473,100.0,0.0,8.67984928403492
10,0.6518390140573883,0.28584451990792603,100.0,0.0,6.189547930197539
11,0.6502021952628572,0.2851607903913228,100.0,0.0,4.421184832141055
12,0.6495282110533445,0.2861408026984541,100.0,0.0,3.238557304099144
13,0.6499133448873518,0.2853659092463038,100.0,0.0,2.4635393887940813
14,0.6518390140573883,0.2858217289240393,100.0,0.0,1.957337971737957
15,0.6509724629308719,0.2854798641657377,100.0,0.0,1.6152381610054216
16,0.6511650298478755,0.28718918795724574,100.0,0.0,1.3792590809286558
17,0.6496244945118462,0.28520637235909635,100.0,0.0,1.2125347153924493
18,0.6518390140573883,0.28696127811837796,100.0,0.0,1.0890880272130647
19,0.65087617947237,0.2872347699250193,100.0,0.0,0.9972479560606182
20,0.6532832659349157,0.2876905896027548,100.0,0.0,0.9244816814766197
21,0.6531869824764139,0.28762221665109444,100.0,0.0,0.8657537512094675
22,0.6530906990179121,0.28700686008615156,100.0,0.0,0.8186951046095271
23,0.654823801270945,0.2880324543610564,100.0,0.0,0.7809822941911572
24,0.6547275178124431,0.28814640928049023,100.0,0.0,0.7490200876078215
25,0.6544386674369377,0.2876450076349812,100.0,0.0,0.7223716370498411
26,0.6529944155594103,0.2882375732160373,100.0,0.0,0.6999753585882824
27,0.6552089351049523,0.28841990108713156,100.0,0.0,0.6807453764397448
